time,A,A_A,A_A_A,A_A_A_A,A_A_A_A_A,A_A_A_A_A_A,A_A_A_A_A_A_A,A_A_A_A_A_A_A_A
3.6036036036036037,0.04684481294386884,0.0396199282154654,0.03376567421083335,0.029466572893024044,0.026429404039850387,0.024598543226833403,0.024149464838979524,0.025745935062820902
3.6636636636636637,0.04559998497389287,0.03880897614340199,0.033280035105350755,0.029222745748096576,0.0263733347749891,0.024698087754691393,0.024394092983484217,0.026154640080919514
3.7237237237237237,0.04441392077935917,0.03802678541050936,0.03280535160212261,0.02898010109621539,0.026313393006210873,0.024791554812948043,0.02463205591674992,0.026556920171210478
3.7837837837837838,0.04327412936185376,0.03726914755189188,0.03234155063509404,0.028739945675033476,0.026251049923574125,0.024880014149806676,0.024863839366945924,0.02695261603965149
3.843843843843844,0.042174412598025734,0.03653383673244228,0.031888400652140124,0.02850281252942204,0.02618700661850923,0.024964034343485635,0.025089759772780745,0.027341737720679955
3.903903903903904,0.04111163883206301,0.035819593236645145,0.03144559287214536,0.02826885768996605,0.026121588919562583,0.025043939756089793,0.025310051079566652,0.027724377761143133
3.963963963963964,0.040082676408153495,0.035125157348985074,0.031012818513994223,0.02803823718725048,0.02605512265528059,0.025120054749724036,0.025524947232615922,0.028100628707888292
4.024024024024024,0.039084393670485086,0.03444926935394665,0.03058976879657122,0.0278111070518603,0.02598793365420965,0.025192703686493238,0.025734682177240824,0.028470583107762695
4.084084084084084,0.03811701556809419,0.033791770242956716,0.030176183195993366,0.027587280016292404,0.025919942708950122,0.025261912789289173,0.025939357392800604,0.02883438496736736
4.1441441441441444,0.037193548664968296,0.03315669238919388,0.02977198494708411,0.027365261568320736,0.025849528275802024,0.0253265729967519,0.026138569941577715,0.029192374246889606
4.2042042042042045,0.03630049170819801,0.03253937565081061,0.0293767161871169,0.027146268293173518,0.025778267465413764,0.02538792971580937,0.026332962997442436,0.02954448451798087
4.2642642642642645,0.03543587526171611,0.03193894143053429,0.028990084843975646,0.026930337354951765,0.025706345863200628,0.02544620407827996,0.02652272463955565,0.029890826145356347
4.324324324324325,0.034597729889455385,0.03135451113109229,0.02861179884554427,0.02671750591775651,0.025633949054577894,0.025501617215982042,0.02670804294707824,0.030231509493731233
4.384384384384385,0.03378408615534859,0.030785206155212005,0.028241566119706688,0.026507811145688773,0.025561262624960848,0.025554390260733997,0.026889105999171097,0.03056664492782071
4.444444444444445,0.03299297462332853,0.03023014790562082,0.027879094594346815,0.026301290202849575,0.025488472159764772,0.02560474434435419,0.0270661018749951,0.030896342812339977
4.504504504504505,0.032228677668882474,0.029690676114316084,0.02752449908917498,0.02609750654949317,0.025415034094722355,0.025652270394602564,0.02723885758575222,0.031220706027232526
4.564564564564565,0.0314927147980909,0.029167150164796034,0.02717771460578491,0.025896232990294164,0.025340727099423373,0.02569683784595633,0.027407359709772892,0.03153984076019459
4.624624624624625,0.030779277653113037,0.028657329295803877,0.02683819922033702,0.025697797566964945,0.025266184493282818,0.0257390548067223,0.02757201803981848,0.03185386197196169
4.684684684684685,0.030087117665522127,0.0281605906954138,0.026505707777540577,0.02550218282299436,0.025191507786819174,0.025779069742786962,0.02773297902196394,0.03216287916421441
4.744744744744745,0.029414986266891395,0.027676311551699976,0.026179995122104848,0.025309371301871258,0.02511679849055093,0.025817031120036794,0.027890389102284245,0.032467001838633346
4.804804804804805,0.028761634888794078,0.0272038690527366,0.025860816098739102,0.02511934554708449,0.025042158114996577,0.025853087404358283,0.02804439472685436,0.032766339496899076
4.864864864864865,0.028125814962803405,0.026742640386597842,0.0255479255521526,0.024932088102122905,0.024967688170674598,0.025887387061637915,0.028195142341749264,0.03306100164069219
4.924924924924925,0.027517131372739742,0.026296628770343347,0.02524252540915105,0.02474716925425551,0.024892300928669158,0.02591878856460596,0.02834182318852568,0.03335079462968823
4.984984984984985,0.026928434414811842,0.025862696171763316,0.024943583720791328,0.024564795694984404,0.024816744501402265,0.02594814176190351,0.028485103067933438,0.033635992787042615
5.045045045045045,0.026357201719175428,0.02543967685100956,0.024650685496859785,0.024384998351717705,0.024741259972944,0.025975746517799193,0.028625240532393174,0.03391674119230617
5.105105105105105,0.025802475988213107,0.025027072143494457,0.02436362441696945,0.024207748704349,0.02466591693855449,0.026001716679024036,0.028762356393445626,0.034193141211829356
5.165165165165165,0.025263299924307477,0.024624383384630397,0.02408219416073334,0.024033018232771885,0.02459078499349386,0.02602616609230905,0.028896571462631533,0.03446529421196262
5.225225225225225,0.02473871622984115,0.024231111909829756,0.02380618840776449,0.023860778416879946,0.024515933733022237,0.02604920860438525,0.029028006551491632,0.03473330155905641
